"","Date","Days","Prevalence","Quantidade","Treatment","BeforeAfterQuarantine","Year","Month"
"1",2011-01-06,1,0,3,"Urban","Before","2011","01"
"2",2011-01-07,2,0.25,8,"Urban","Before","2011","01"
"5",2011-01-10,5,0.25,4,"Urban","Before","2011","01"
"6",2011-01-11,6,0,10,"Urban","Before","2011","01"
"7",2011-01-12,7,0,10,"Urban","Before","2011","01"
"9",2011-01-14,9,0,5,"Urban","Before","2011","01"
"19",2011-01-24,19,0,10,"Urban","Before","2011","01"
"27",2011-02-01,27,0.25,4,"Urban","Before","2011","02"
"33",2011-02-07,33,0,4,"Urban","Before","2011","02"
"34",2011-02-08,34,0,4,"Urban","Before","2011","02"
"35",2011-02-09,35,0,4,"Urban","Before","2011","02"
"37",2011-02-11,37,0.125,16,"Urban","Before","2011","02"
"40",2011-02-14,40,0,11,"Urban","Before","2011","02"
"48",2011-02-22,48,0,2,"Urban","Before","2011","02"
"50",2011-02-24,50,0,6,"Urban","Before","2011","02"
"54",2011-02-28,54,0,9,"Urban","Before","2011","02"
"55",2011-03-01,55,0,9,"Urban","Before","2011","03"
"56",2011-03-02,56,0.333333333333333,9,"Urban","Before","2011","03"
"57",2011-03-03,57,0,4,"Urban","Before","2011","03"
"58",2011-03-04,58,0,6,"Urban","Before","2011","03"
"63",2011-03-09,63,0,2,"Urban","Before","2011","03"
"72",2011-03-18,72,0,3,"Urban","Before","2011","03"
"85",2011-03-31,85,0.125,8,"Urban","Before","2011","03"
"97",2011-04-12,97,0,7,"Urban","Before","2011","04"
"99",2011-04-14,99,0,10,"Urban","Before","2011","04"
"103",2011-04-18,103,0,10,"Urban","Before","2011","04"
"104",2011-04-19,104,0,9,"Urban","Before","2011","04"
"110",2011-04-25,110,0.0476190476190476,21,"Urban","Before","2011","04"
"112",2011-04-27,112,0,13,"Urban","Before","2011","04"
"114",2011-04-29,114,0,7,"Urban","Before","2011","04"
"120",2011-05-05,120,0,10,"Urban","Before","2011","05"
"127",2011-05-12,127,0,16,"Urban","Before","2011","05"
"131",2011-05-16,131,0,9,"Urban","Before","2011","05"
"134",2011-05-19,134,0.2,20,"Urban","Before","2011","05"
"135",2011-05-20,135,0.153846153846154,13,"Urban","Before","2011","05"
"223",2011-08-16,223,0.125,24,"Urban","Before","2011","08"
"230",2011-08-23,230,0,10,"Urban","Before","2011","08"
"232",2011-08-25,232,1,1,"Urban","Before","2011","08"
"236",2011-08-29,236,0,6,"Urban","Before","2011","08"
"238",2011-08-31,238,0,8,"Urban","Before","2011","08"
"247",2011-09-09,247,0,7,"Urban","Before","2011","09"
"248",2011-09-10,248,0,6,"Urban","Before","2011","09"
"250",2011-09-12,250,0,11,"Urban","Before","2011","09"
"252",2011-09-14,252,0.142857142857143,14,"Urban","Before","2011","09"
"257",2011-09-19,257,0,4,"Urban","Before","2011","09"
"258",2011-09-20,258,0,15,"Urban","Before","2011","09"
"262",2011-09-24,262,0,9,"Urban","Before","2011","09"
"269",2011-10-01,269,0,2,"Urban","Before","2011","10"
"272",2011-10-04,272,0,8,"Urban","Before","2011","10"
"283",2011-10-15,283,0,7,"Urban","Before","2011","10"
"288",2011-10-20,288,0,32,"Urban","Before","2011","10"
"304",2011-11-05,304,0,4,"Urban","Before","2011","11"
"305",2011-11-06,305,0,1,"Urban","Before","2011","11"
"307",2011-11-08,307,0,6,"Urban","Before","2011","11"
"309",2011-11-10,309,0,15,"Urban","Before","2011","11"
"312",2011-11-13,312,0,4,"Urban","Before","2011","11"
"313",2011-11-14,313,0,4,"Urban","Before","2011","11"
"315",2011-11-16,315,0,1,"Urban","Before","2011","11"
"317",2011-11-18,317,0,1,"Urban","Before","2011","11"
"319",2011-11-20,319,0,4,"Urban","Before","2011","11"
"320",2011-11-21,320,0,9,"Urban","Before","2011","11"
"323",2011-11-24,323,0,5,"Urban","Before","2011","11"
"332",2011-12-03,332,0,2,"Urban","Before","2011","12"
"340",2011-12-11,340,0,4,"Urban","Before","2011","12"
"342",2011-12-13,342,0,4,"Urban","Before","2011","12"
"345",2011-12-16,345,0.142857142857143,7,"Urban","Before","2011","12"
"1286",2014-07-14,1286,0.3,10,"Urban","Before","2014","07"
"1288",2014-07-16,1288,0.263157894736842,19,"Urban","Before","2014","07"
"1289",2014-07-17,1289,0.2,5,"Urban","Before","2014","07"
"1290",2014-07-18,1290,0.3,10,"Urban","Before","2014","07"
"1291",2014-07-19,1291,0.222222222222222,9,"Urban","Before","2014","07"
"1292",2014-07-20,1292,0.222222222222222,9,"Urban","Before","2014","07"
"1293",2014-07-21,1293,0.363636363636364,11,"Urban","Before","2014","07"
"1295",2014-07-23,1295,0.5,2,"Urban","Before","2014","07"
"1297",2014-07-25,1297,0.571428571428571,7,"Urban","Before","2014","07"
"1298",2014-07-26,1298,0,1,"Urban","Before","2014","07"
"1299",2014-07-27,1299,0,1,"Urban","Before","2014","07"
"1300",2014-07-28,1300,1,1,"Urban","Before","2014","07"
"1301",2014-07-29,1301,0.333333333333333,6,"Urban","Before","2014","07"
"1303",2014-07-31,1303,0,1,"Urban","Before","2014","07"
"1304",2014-08-01,1304,0.142857142857143,7,"Urban","Before","2014","08"
"1305",2014-08-02,1305,0.0833333333333333,12,"Urban","Before","2014","08"
"1315",2014-08-12,1315,0.166666666666667,6,"Urban","Before","2014","08"
"1317",2014-08-14,1317,0,8,"Urban","Before","2014","08"
"1319",2014-08-16,1319,0,3,"Urban","Before","2014","08"
"1329",2014-08-26,1329,0.333333333333333,3,"Urban","Before","2014","08"
